,RegionName,Jan2000,Feb2000,Mar2000,apr2000,May2000,Jun2000,Jul2000,Aug2000,Sep2000,Oct2000,Nov2000,Dec2000,Jan2001,Feb2001,Mar2001,apr2001,May2001,Jun2001,Jul2001,Aug2001,Sep2001,Oct2001,Nov2001,Dec2001,Jan2002,Feb2002,Mar2002,apr2002,May2002,Jun2002,Jul2002,Aug2002,Sep2002,Oct2002,Nov2002,Dec2002,Jan2003,Feb2003,Mar2003,apr2003,May2003,Jun2003,Jul2003,Aug2003,Sep2003,Oct2003,Nov2003,Dec2003,Jan2004,Feb2004,Mar2004,apr2004,May2004,Jun2004,Jul2004,Aug2004,Sep2004,Oct2004,Nov2004,Dec2004,Jan2005,Feb2005,Mar2005,apr2005,May2005,Jun2005,Jul2005,Aug2005,Sep2005,Oct2005,Nov2005,Dec2005,Jan2006,Feb2006,Mar2006,apr2006,May2006,Jun2006,Jul2006,Aug2006,Sep2006,Oct2006,Nov2006,Dec2006,Jan2007,Feb2007,Mar2007,apr2007,May2007,Jun2007,Jul2007,Aug2007,Sep2007,Oct2007,Nov2007,Dec2007,Jan2008,Feb2008,Mar2008,apr2008,May2008,Jun2008,Jul2008,Aug2008,Sep2008,Oct2008,Nov2008,Dec2008,Jan2009,Feb2009,Mar2009,apr2009,May2009,Jun2009,Jul2009,Aug2009,Sep2009,Oct2009,Nov2009,Dec2009,Jan2010,Feb2010,Mar2010,apr2010,May2010,Jun2010,Jul2010,Aug2010,Sep2010,Oct2010,Nov2010,Dec2010,Jan2011,Feb2011,Mar2011,apr2011,May2011,Jun2011,Jul2011,Aug2011,Sep2011,Oct2011,Nov2011,Dec2011,Jan2012,Feb2012,Mar2012,apr2012,May2012,Jun2012,Jul2012,Aug2012,Sep2012,Oct2012,Nov2012,Dec2012,Jan2013,Feb2013,Mar2013,apr2013,May2013,Jun2013,Jul2013,Aug2013,Sep2013,Oct2013,Nov2013,Dec2013,Jan2014,Feb2014,Mar2014,apr2014,May2014,Jun2014,Jul2014,Aug2014,Sep2014,Oct2014,Nov2014,Dec2014,Jan2015,Feb2015,Mar2015,apr2015,May2015,Jun2015,Jul2015,Aug2015,Sep2015,Oct2015,Nov2015,Dec2015,Jan2016,Feb2016,Mar2016,apr2016,May2016,Jun2016,Jul2016,Aug2016,Sep2016,Oct2016,Nov2016,Dec2016,Jan2017,Feb2017,Mar2017,apr2017,May2017,Jun2017,Jul2017,Aug2017,Sep2017,Oct2017,Nov2017,Dec2017,Jan2018,Feb2018,Mar2018,apr2018,May2018,Jun2018,Jul2018,Aug2018,Sep2018,Oct2018,Nov2018,Dec2018,Jan2019,Feb2019,Mar2019,apr2019,May2019,Jun2019,Jul2019,Aug2019,Sep2019,Oct2019,Nov2019,Dec2019,Jan2020,Feb2020,Mar2020,apr2020,May2020,Jun2020,Jul2020,Aug2020,Sep2020,Oct2020,Nov2020,Dec2020,Jan2021,Feb2021,Mar2021,apr2021,May2021,Jun2021,Jul2021,Aug2021,Sep2021,Oct2021,Nov2021,Dec2021,Jan2022,Feb2022,Mar2022,apr2022,May2022,Jun2022,Jul2022,Aug2022,Sep2022,Oct2022,Nov2022,Dec2022,Jan2023,Feb2023,Mar2023,apr2023,May2023,Jun2023,Jul2023,Aug2023,Sep2023
0,California,189261,189897,190756,192620,194788,197126,199596,202174,204759,207209,209623,211985,213983,215959,218183,220949,223720,226237,228594,230864,233068,235129,237065,238875,240338,241834,243584,245946,248704,251763,255303,259113,262963,266616,270196,273725,276844,279751,282831,286411,290387,294064,297946,302035,306578,311002,315266,319389,323657,328464,333947,340242,347489,355578,363847,371739,379213,386391,392701,398798,404224,410105,416287,423258,430038,436308,442307,448392,454505,460505,465373,469681,473271,476464,479505,482236,484949,486826,487523,487529,486484,485294,484024,482923,482014,480947,479422,477466,474415,470902,466406,461717,456448,450918,445359,439401,433467,426464,418098,408291,397853,387716,377449,367565,358434,350538,342882,335537,328671,323671,319530,315638,311867,308572,306128,304085,302485,301632,302473,304396,306349,307165,308208,309506,310936,310871,309724,307765,305766,303622,301723,300370,299316,298307,296820,295238,292860,290947,289280,287463,285293,282977,281833,281088,280703,280145,279517,279089,279284,280388,281988,284519,287937,292299,297076,302160,306975,311237,314897,319207,325093,332217,339352,346177,352866,359471,365012,369476,372706,375377,377806,380768,383930,386533,388244,389745,392223,395365,398888,402140,405031,407475,409475,411411,413600,415843,417611,418796,419809,421058,422100,423051,426201,431501,437521,442069,445086,447753,448728,448421,446947,446612,447675,450242,455096,461484,468422,474088,478242,481803,483536,485034,486612,490042,493846,498316,503364,508932,514007,518182,522001,525110,527938,530972,534396,538037,540613,542122,541651,540033,538200,537147,536517,536129,536537,538244,540854,543930,547279,550750,553585,555865,558062,560090,560346,559133,558976,562240,569485,578789,589623,600430,609403,617081,624036,633141,644044,655751,666331,673651,678615,683046,688889,696092,706137,719027,734570,748705,759360,765025,765334,760664,753195,746471,741187,736657,729610,722365,717036,716449,719439,724675,731733,739720,747352
1,Texas,110480,110540,110569,110714,110807,110912,110981,111185,111453,111739,112070,112438,112657,112624,112404,112276,112319,112450,112604,112742,112887,113039,113150,113240,113270,113355,113568,113942,114382,114876,115378,115908,116375,116776,117118,117408,117631,117778,117945,118140,118361,118584,118804,119060,119292,119528,119699,119843,120205,121018,122305,123583,124638,125316,125949,126525,127176,127781,128322,128796,129300,129724,130101,130434,130797,131192,131543,131871,132199,132465,132776,133029,133237,133446,133701,134110,134668,135288,135905,136454,137037,137758,138448,139132,139494,139636,139618,139834,140230,140744,141203,141691,142172,142615,142983,143324,143186,142788,142203,141896,141675,141478,141315,140967,140463,139864,139277,138733,138239,137979,137873,137856,137856,137832,137843,137728,137575,137373,137416,137540,137600,137586,137611,137785,137985,138031,137786,137313,136754,136191,135606,135099,134658,134194,133738,133297,132948,132592,132394,132278,132236,132125,131916,131673,131561,131715,131988,132262,132569,133001,133491,133856,134170,134482,134843,135205,135710,136352,137113,137835,138660,139644,140588,141503,142218,143032,143778,144615,145599,146708,147828,148801,149787,150788,151928,152953,153856,154497,155307,156254,157440,158668,159869,160993,162069,163140,164254,165416,166601,167795,168846,169936,171104,172322,173220,174075,174899,175882,176702,177499,178410,179414,180545,181631,182699,183654,184671,185797,186811,187726,188433,189183,189945,190853,191853,192964,194065,195067,196240,197338,198484,199353,200348,201242,202124,202797,203561,204409,205250,205991,206632,207174,207660,208132,208633,209233,209889,210767,211807,212939,214088,215200,216284,217066,217345,217512,218165,219583,221725,224142,226899,229569,232373,235359,238740,242493,246787,251382,255597,258810,261159,263595,266750,270376,275146,280482,286516,292369,297750,302446,305302,306198,305537,304592,303596,302315,300625,299018,297946,297575,297895,298725,299472,300052,300090
2,Florida,107307,107539,107821,108394,109011,109642,110275,110920,111588,112270,112979,113711,114380,115044,115738,116559,117457,118395,119404,120472,121580,122692,123757,124802,125746,126618,127472,128432,129485,130587,131708,132907,134092,135277,136401,137620,138822,140056,141322,142733,144223,145701,147165,148661,150215,151789,153333,154810,156226,157629,159166,160918,162969,165296,167881,170728,173618,176395,179000,181654,184380,187294,190562,194413,198710,203369,208340,213478,218515,223153,227441,231459,235173,238619,242200,246187,250010,253211,255408,256850,257454,257426,257041,256269,255293,254237,253025,251625,249801,247522,244777,241743,238637,235460,232138,228769,225109,221497,217639,213882,209846,205921,201908,197736,193492,189200,184980,180946,177151,173779,170609,167452,164399,161494,159008,156718,154622,152848,151666,150767,150075,149473,149062,148704,148239,147539,146568,145355,144032,142647,141246,139910,138574,137308,136015,134764,133514,132385,131344,130525,129910,129557,129376,129294,129323,129444,129638,130001,130470,131105,131743,132310,132913,133660,134719,136130,137744,139392,141073,142805,144758,146672,148510,150265,151971,153772,155363,156986,158531,160196,161757,163147,164519,165655,166826,167822,168858,169727,170813,172101,173507,174739,175827,176920,178158,179427,180874,182406,184073,185814,187493,189052,190489,191851,193103,194429,195742,197145,198377,199653,201086,202681,204140,205351,206411,207599,208984,210457,211746,213076,214340,215766,217148,218630,220155,221751,223171,224418,225673,226916,228205,229291,230699,232075,233471,234621,235841,237160,238351,239419,240141,240663,240943,241349,241874,242590,243302,244246,245536,247126,249053,250868,252463,253433,253701,253835,254408,255987,258521,261518,265038,268536,272156,275763,279618,283904,289091,295441,301945,307730,312418,317033,322196,327778,334784,342933,352552,362667,372361,380978,386825,389784,390162,389679,388971,388123,386773,385630,385165,385611,386667,388345,390053,391745,392922
3,New York,153890,154438,154966,156100,157274,158543,159684,160683,161571,162522,163688,164967,166194,167215,168136,169098,170160,171332,172563,173855,175118,176448,177840,179319,180778,182103,183227,184334,185515,186886,188359,190004,191698,193388,195029,196729,198389,200005,201728,203427,205165,206889,208697,210750,212972,215260,217260,219054,220801,222456,223843,225222,226845,228847,231098,233414,235853,238249,240677,242998,245210,247365,249348,251441,253663,255960,258376,260902,263554,266253,268693,271124,273249,275193,276798,278192,279509,280869,282141,283280,284016,284557,284869,285201,285478,285704,286004,286126,286361,286397,286454,286533,286539,286747,286957,287071,287141,287000,286840,286475,285865,285033,283929,282736,281402,279800,278045,276362,274806,273467,272279,271268,270339,269330,268284,267155,266204,265468,264998,264683,264452,264434,264513,264912,265338,265909,266274,266186,265634,264636,263592,262535,261788,261216,260864,260390,259883,259127,258387,257664,257005,256348,255633,255028,254496,254285,254478,254880,255381,255748,256089,256101,256128,255964,255948,255922,256332,257014,257817,258574,259433,260625,261813,262880,263652,264471,265149,265607,266001,266541,267531,268685,270055,271001,271779,272242,272863,273344,274006,274570,274993,275242,275495,275954,276779,277683,278809,280159,281944,283875,285453,286731,287636,288343,288663,289235,290112,291472,292591,293391,294007,294865,296190,298019,299697,301468,303030,305136,306832,308322,309420,310780,312161,313886,315285,316847,318257,319387,320859,322505,324900,327061,329501,331881,334322,335940,337090,337765,338862,340408,342084,343494,344299,345282,346284,347483,348139,348878,350354,352231,354545,356309,357933,359282,360455,361090,361269,361681,363758,367161,371659,376621,381317,386219,390798,395053,399306,403290,406810,408956,410017,411549,413853,416576,419784,423674,428864,434176,439023,443661,446790,447727,446140,444290,442716,441114,439438,438046,438141,439651,442121,445024,448103,451232,453887
4,Pennsylvania,98186,98397,98594,98996,99409,99834,100285,100715,101154,101574,102038,102518,102992,103425,103861,104328,104776,105231,105721,106261,106807,107309,107819,108302,108781,109257,109752,110297,110893,111549,112283,113112,113972,114814,115539,116228,116888,117553,118187,118859,119680,120673,121762,122814,123845,124820,125704,126491,127189,127993,128801,129698,130754,132001,133465,134895,136324,137568,138826,140055,141321,142349,143332,144402,145690,147181,148775,150446,152016,153448,154761,155994,157088,158042,158937,159884,160944,162105,163180,164049,164655,165127,165504,165823,166145,166529,167012,167458,167886,168212,168564,168816,168943,169026,169133,169216,169173,169142,169075,169029,168825,168499,167918,167163,166366,165674,165023,164321,163605,163135,162903,162763,162519,162185,161820,161391,160985,160708,160652,160739,160987,161333,161814,162282,162588,162642,162395,161924,161222,160394,159484,158625,157878,157272,156811,156318,155747,155019,154292,153688,153255,152900,152544,152198,151897,151830,152151,152624,153077,153259,153335,153212,153090,152911,152780,152693,152687,152708,152940,153374,154015,154557,154717,154772,154702,154919,155075,155286,155426,155523,155621,155864,156310,156780,157270,157511,157534,157204,156997,156979,157058,157110,157300,157719,158310,158837,159465,160187,160893,161426,161695,162054,162541,163040,163081,163074,163271,163774,164167,164561,165059,165692,166271,166925,167496,168003,168391,168842,169314,169810,170330,170900,171537,172312,173231,174153,174977,175696,176692,177638,178389,178760,179148,179594,180020,180267,180545,180920,181586,182589,183643,184495,185054,185665,186353,187075,187731,188558,189609,190750,191876,193057,194324,195713,196555,196904,197207,198221,200379,203089,206332,209384,212195,214938,217794,220722,223664,226748,228985,229853,229100,228498,228606,229571,231909,235339,239631,243520,246525,248872,249774,249563,248600,248301,248500,248709,248527,248135,248290,249109,250646,252469,254242,255942,257268
5,Illinois,127079,127181,127401,127919,128533,129224,129973,131039,132293,133740,134845,135721,136351,136981,137665,138361,139190,140063,140964,142067,143333,144789,145901,146723,147290,147954,148761,149514,150312,151100,152047,153252,154585,156021,157017,157878,158561,159414,160227,161129,161973,162800,163586,164700,166068,167584,168739,169636,170452,171342,172259,173282,174428,175750,177027,178437,179806,181292,182565,183808,184854,186002,187158,188429,189726,191033,192287,193669,195253,196978,198351,199521,200545,201666,202812,203839,204879,205631,206204,206632,206976,207249,207491,207820,208325,208832,209237,209426,209446,209325,209049,208699,208143,207523,206878,206112,205277,203632,202862,201424,200919,199254,198174,196150,194429,192093,189905,187336,184565,182357,180205,178844,177231,175944,174680,173536,171973,170452,168966,168206,167465,167120,166310,166404,166076,166380,165191,164141,162481,161134,159295,157497,155881,154611,153690,152596,151763,150703,150054,149149,148275,146816,145624,144155,143191,142258,141725,141271,140953,140975,141218,141349,141405,141226,140914,140600,140632,141158,141944,143025,143951,145088,146014,147233,148342,149758,150983,152139,152981,153891,154682,155491,156326,157218,158206,159022,159619,159976,160315,160681,160911,160931,161166,161561,162311,162927,163586,164174,164856,165806,166710,167587,168430,169339,169966,170544,171109,171801,172113,172315,172486,173018,173687,174633,175597,176651,177778,178672,179326,179524,179673,179865,180478,181321,182367,183412,184523,185490,186643,187503,188172,188129,188186,188116,188259,188236,188393,188779,189591,190782,191901,192743,193119,193312,193207,193104,192841,192911,193237,193940,194930,196083,197211,198025,198130,197827,197545,198042,199622,201763,204294,206664,209013,211576,214190,216653,218867,221176,223140,224284,224436,224596,225292,226711,229204,232654,236802,240681,243290,245062,245425,244949,243657,242792,242309,242046,241526,241301,241697,243053,244926,247069,249073,251044,252552
6,Ohio,105428,105492,105590,105877,106315,106859,107396,107918,108432,108927,109411,109872,110300,110641,110957,111270,111609,111944,112317,112731,113153,113558,113924,114256,114536,114766,114987,115210,115475,115771,116117,116478,116842,117206,117584,117958,118301,118615,118899,119194,119510,119888,120322,120830,121349,121855,122279,122656,122974,123298,123626,123949,124289,124643,125041,125414,125775,126116,126461,126786,127132,127498,127874,128228,128533,128838,129125,129436,129735,130040,130340,130613,130835,131013,131176,131348,131524,131682,131823,131914,131946,131926,131844,131710,131564,131471,131342,131198,131030,130878,130674,130433,130247,130030,129675,129227,128746,128282,127903,127574,127308,127006,126712,126360,125941,125393,124843,124189,123434,122608,121860,121334,120962,120636,120246,119824,119435,119155,118876,118639,118412,118359,118334,118375,118373,118317,118065,117689,117190,116629,115970,115253,114579,113951,113455,112943,112440,111950,111602,111341,111070,110743,110399,110093,109736,109506,109506,109707,109970,110129,110281,110271,110331,110388,110490,110553,110680,110893,111304,111882,112634,113303,113830,114309,114698,115077,115155,115230,115199,115309,115455,115853,116547,117290,117963,118358,118561,118467,118430,118568,118910,119280,119709,120249,120932,121589,122271,122989,123665,124297,124679,125158,125802,126610,127109,127419,127620,128016,128270,128547,128881,129417,129997,130615,131206,131739,132274,132864,133463,134067,134690,135351,135945,136574,137307,138069,138714,139261,140095,141012,141987,142641,143363,144051,144846,145470,146205,146947,147824,148820,149826,150594,151074,151534,152051,152535,152940,153494,154315,155218,156227,157252,158362,159368,160013,160463,161116,162463,164602,167225,170112,172821,175196,177431,179731,182206,184803,187474,189353,189993,189542,189269,189652,190502,192568,195581,199245,202660,205442,208000,209430,209929,209532,209252,209168,209057,208414,208042,208310,209660,211600,213773,215748,217318,218488
7,Georgia,123013,123292,123615,124293,125042,125835,126636,127484,128349,129249,130141,131085,132001,132789,133463,134083,134769,135454,136136,136830,137521,138204,138823,139400,139891,140364,140794,141253,141721,142201,142653,143089,143534,144003,144429,144789,145094,145374,145679,145985,146289,146576,146865,147219,147602,147987,148329,148683,148989,149295,149593,149993,150437,150885,151316,151810,152350,152928,153436,153880,154222,154541,154868,155329,155900,156552,157164,157756,158348,158940,159517,160058,160586,161118,161624,162138,162628,163160,163721,164300,164819,165276,165614,165985,166326,166700,167059,167436,167759,167977,168080,168118,168007,167790,167389,166976,166353,165654,164805,164075,163376,162641,161763,160749,159669,158467,156969,155162,153324,151675,150193,148617,146973,145398,144068,142933,141864,140806,139866,139116,138418,137818,137336,137118,136937,136641,135921,134887,133508,132182,130821,129572,128332,127295,126246,125050,123586,122146,120934,120080,119511,119076,118710,118107,117596,117204,117322,117646,118125,118714,119352,119749,120117,120390,120835,121267,121801,122499,123556,124885,126538,128224,129864,131399,132718,134069,135148,136328,137398,138594,139704,140842,142008,142984,143829,144495,145096,145553,146095,146676,147253,147815,148446,149237,150109,150984,151947,152946,154005,155019,155925,156836,157845,158836,159540,160264,160967,161728,162148,162502,163008,163772,164703,165698,166646,167640,168653,169714,170626,171471,172383,173364,174427,175560,176901,178441,179968,181413,182852,184122,185337,186261,187460,188683,190140,191361,192683,194043,195489,196811,197985,198951,199743,200426,201118,201919,202661,203611,204778,206216,207775,209328,210800,211967,212538,212907,213635,215309,217985,221283,224978,228654,232337,236172,240192,244393,248926,253839,258299,261820,264576,267797,271890,276578,282587,289261,296237,302521,307869,312535,315329,316400,315953,315215,314305,313192,311880,311022,311130,312051,313555,315242,316936,318616,320082
8,North Carolina,127797,127991,128192,128626,129110,129625,130127,130602,131064,131553,132104,132689,133292,133743,134107,134376,134689,135004,135305,135647,135997,136382,136682,136946,137166,137353,137531,137648,137829,138020,138280,138538,138798,139055,139290,139532,139767,139981,140181,140350,140547,140746,140988,141289,141612,141935,142224,142540,142862,143185,143474,143773,144073,144438,144825,145246,145698,146188,146692,147190,147577,147991,148379,148894,149444,150118,150864,151678,152475,153311,154100,154870,155583,156286,157042,157849,158726,159601,160493,161409,162294,163107,163786,164396,165012,165599,166257,166935,167668,168377,168989,169540,169973,170314,170566,170729,170838,170904,170984,171026,170978,170748,170360,169907,169425,168934,168318,167579,166767,166156,165673,165177,164527,163791,163061,162236,161484,160856,160433,160032,159662,159260,158938,158790,158738,158603,158190,157600,156923,156254,155568,154904,154216,153567,152900,152183,151482,150842,150281,149711,149208,148637,148068,147521,147097,146915,146995,147303,147665,147951,148199,148231,148278,148265,148267,148204,148150,148260,148497,148853,149377,150029,150696,151331,151843,152363,152626,152860,153097,153587,154113,154662,155238,155726,156135,156350,156512,156509,156652,156942,157440,157995,158534,159105,159736,160368,161038,161735,162489,163303,164009,164816,165733,166664,167234,167697,168114,168739,169252,169934,170778,171840,172880,173865,174730,175497,176229,177128,178007,178919,179775,180712,181646,182643,183787,184997,186163,187219,188375,189393,190348,191107,192055,193034,194087,194965,195957,197006,198161,199243,200356,201364,202240,202969,203699,204505,205278,206306,207609,209044,210383,211691,213152,214558,215488,216173,217197,219151,222093,225575,229316,233024,236546,240175,243884,247911,252441,257549,262295,265797,268096,270275,273097,276265,280825,286388,293086,299902,306252,311902,315450,316895,316547,315945,315243,314336,312943,311936,311901,312937,314556,316475,318278,320051,321505
9,Michigan,116630,116694,116929,117397,118088,118847,119732,120626,121480,122278,123103,123961,124772,125398,125910,126358,126902,127458,128034,128644,129308,129979,130589,131153,131736,132236,132675,132997,133326,133689,134042,134441,134819,135264,135691,136123,136529,136883,137098,137296,137642,138130,138648,139166,139721,140355,140928,141468,141976,142378,142764,143042,143400,143781,144231,144696,145153,145643,146091,146524,146961,147315,147643,147909,148231,148486,148670,148871,149118,149390,149615,149833,150060,150270,150389,150371,150236,150012,149754,149448,149110,148725,148284,147749,147130,146509,145853,145202,144423,143694,142817,142052,141088,140119,139037,138079,137101,135971,134605,133015,131461,129946,128416,126606,124842,123315,121936,120310,118290,116199,114172,112430,110902,109503,108327,107199,106205,105096,104122,103247,102684,102148,101808,101660,101785,101988,101917,101601,100985,100271,99417,98602,97762,97054,96427,95844,95320,94806,94439,94265,94215,94164,94008,93813,93662,93744,94017,94557,95275,96095,96909,97508,98211,98948,99661,100298,100933,101668,102632,103783,105167,106649,108080,109667,111072,112415,113247,113957,114671,115629,116497,117482,118459,119569,120613,121437,122013,122171,122379,122669,123188,123757,124543,125502,126597,127569,128390,129152,129909,130691,131338,132034,132926,133869,134524,135193,135916,136847,137382,137862,138353,139064,139888,140832,141858,142871,143928,144949,145957,146925,147925,148779,149541,150259,151179,152164,153257,154286,155627,156849,158069,158873,159851,160537,161183,161287,161644,162234,163361,164753,166260,167591,168621,169376,169751,169900,169930,170409,171233,172077,173004,174186,175625,176978,177636,177862,178112,179089,181173,183731,186642,189296,192025,195010,198182,201441,204780,208238,210839,211967,211772,211504,211844,212699,214856,218184,222384,226449,229534,231880,232457,231789,230242,229200,228433,227884,227476,227482,228088,229247,230929,232644,233977,235179,236114
